2021-02-14 13:08:03 status half-installed libconfig-inifiles-perl:all 3.000001-1
2021-02-14 13:08:03 status unpacked libconfig-inifiles-perl:all 3.000001-1
2021-02-14 13:08:03 install libdbi-perl:amd64 <none> 1.642-1+deb10u2
2021-02-14 13:08:03 status half-installed libdbi-perl:amd64 1.642-1+deb10u2
2021-02-14 13:08:03 status unpacked libdbi-perl:amd64 1.642-1+deb10u2
2021-02-14 13:08:03 install libdbd-mysql-perl:amd64 <none> 4.050-2
2021-02-14 13:08:03 status half-installed libdbd-mysql-perl:amd64 4.050-2
2021-02-14 13:08:03 status unpacked libdbd-mysql-perl:amd64 4.050-2
2021-02-14 13:08:04 install libgpm2:amd64 <none> 1.20.7-5
2021-02-14 13:08:04 status half-installed libgpm2:amd64 1.20.7-5
2021-02-14 13:08:04 status unpacked libgpm2:amd64 1.20.7-5
2021-02-14 13:08:04 install libncurses6:amd64 <none> 6.1+20181013-2+deb10u2
2021-02-14 13:08:04 status half-installed libncurses6:amd64 6.1+20181013-2+deb10u2
2021-02-14 13:08:04 status unpacked libncurses6:amd64 6.1+20181013-2+deb10u2
2021-02-14 13:08:04 install libreadline5:amd64 <none> 5.2+dfsg-3+b13
2021-02-14 13:08:04 status half-installed libreadline5:amd64 5.2+dfsg-3+b13
2021-02-14 13:08:04 status unpacked libreadline5:amd64 5.2+dfsg-3+b13
2021-02-14 13:08:04 install libsnappy1v5:amd64 <none> 1.1.7-1
2021-02-14 13:08:04 status half-installed libsnappy1v5:amd64 1.1.7-1
2021-02-14 13:08:04 status unpacked libsnappy1v5:amd64 1.1.7-1
2021-02-14 13:08:04 install libterm-readkey-perl:amd64 <none> 2.38-1
2021-02-14 13:08:04 status half-installed libterm-readkey-perl:amd64 2.38-1
2021-02-14 13:08:04 status unpacked libterm-readkey-perl:amd64 2.38-1
2021-02-14 13:08:04 install mariadb-client-core-10.3:amd64 <none> 1:10.3.27-0+deb10u1
2021-02-14 13:08:04 status half-installed mariadb-client-core-10.3:amd64 1:10.3.27-0+deb10u1
2021-02-14 13:08:05 status unpacked mariadb-client-core-10.3:amd64 1:10.3.27-0+deb10u1
2021-02-14 13:08:05 install mariadb-client-10.3:amd64 <none> 1:10.3.27-0+deb10u1
2021-02-14 13:08:05 status half-installed mariadb-client-10.3:amd64 1:10.3.27-0+deb10u1
2021-02-14 13:08:05 status unpacked mariadb-client-10.3:amd64 1:10.3.27-0+deb10u1
2021-02-14 13:08:05 install mariadb-client:all <none> 1:10.3.27-0+deb10u1
2021-02-14 13:08:05 status half-installed mariadb-client:all 1:10.3.27-0+deb10u1
2021-02-14 13:08:05 status unpacked mariadb-client:all 1:10.3.27-0+deb10u1
2021-02-14 13:08:05 startup packages configure
2021-02-14 13:08:05 configure libconfig-inifiles-perl:all 3.000001-1 <none>
2021-02-14 13:08:05 status unpacked libconfig-inifiles-perl:all 3.000001-1
2021-02-14 13:08:05 status half-configured libconfig-inifiles-perl:all 3.000001-1
2021-02-14 13:08:05 status installed libconfig-inifiles-perl:all 3.000001-1
2021-02-14 13:08:05 configure libreadline5:amd64 5.2+dfsg-3+b13 <none>
2021-02-14 13:08:05 status unpacked libreadline5:amd64 5.2+dfsg-3+b13
2021-02-14 13:08:05 status half-configured libreadline5:amd64 5.2+dfsg-3+b13
2021-02-14 13:08:05 status installed libreadline5:amd64 5.2+dfsg-3+b13
2021-02-14 13:08:05 configure libgpm2:amd64 1.20.7-5 <none>
2021-02-14 13:08:05 status unpacked libgpm2:amd64 1.20.7-5
2021-02-14 13:08:05 status half-configured libgpm2:amd64 1.20.7-5
2021-02-14 13:08:05 status installed libgpm2:amd64 1.20.7-5
2021-02-14 13:08:05 configure libsnappy1v5:amd64 1.1.7-1 <none>
2021-02-14 13:08:05 status unpacked libsnappy1v5:amd64 1.1.7-1
2021-02-14 13:08:05 status half-configured libsnappy1v5:amd64 1.1.7-1
2021-02-14 13:08:05 status installed libsnappy1v5:amd64 1.1.7-1
2021-02-14 13:08:06 configure libncurses6:amd64 6.1+20181013-2+deb10u2 <none>
2021-02-14 13:08:06 status unpacked libncurses6:amd64 6.1+20181013-2+deb10u2
2021-02-14 13:08:06 status half-configured libncurses6:amd64 6.1+20181013-2+deb10u2
2021-02-14 13:08:06 status installed libncurses6:amd64 6.1+20181013-2+deb10u2
2021-02-14 13:08:06 configure libterm-readkey-perl:amd64 2.38-1 <none>
2021-02-14 13:08:06 status unpacked libterm-readkey-perl:amd64 2.38-1
2021-02-14 13:08:06 status half-configured libterm-readkey-perl:amd64 2.38-1
2021-02-14 13:08:06 status installed libterm-readkey-perl:amd64 2.38-1
2021-02-14 13:08:06 configure libaio1:amd64 0.3.112-3 <none>
2021-02-14 13:08:06 status unpacked libaio1:amd64 0.3.112-3
2021-02-14 13:08:06 status half-configured libaio1:amd64 0.3.112-3
2021-02-14 13:08:06 status installed libaio1:amd64 0.3.112-3
2021-02-14 13:08:06 configure libdbi-perl:amd64 1.642-1+deb10u2 <none>
2021-02-14 13:08:06 status unpacked libdbi-perl:amd64 1.642-1+deb10u2
2021-02-14 13:08:06 status half-configured libdbi-perl:amd64 1.642-1+deb10u2
2021-02-14 13:08:06 status installed libdbi-perl:amd64 1.642-1+deb10u2
2021-02-14 13:08:06 configure libdbd-mysql-perl:amd64 4.050-2 <none>
2021-02-14 13:08:06 status unpacked libdbd-mysql-perl:amd64 4.050-2
2021-02-14 13:08:06 status half-configured libdbd-mysql-perl:amd64 4.050-2
2021-02-14 13:08:06 status installed libdbd-mysql-perl:amd64 4.050-2
2021-02-14 13:08:06 configure mariadb-client-core-10.3:amd64 1:10.3.27-0+deb10u1 <none>
2021-02-14 13:08:06 status unpacked mariadb-client-core-10.3:amd64 1:10.3.27-0+deb10u1
2021-02-14 13:08:06 status half-configured mariadb-client-core-10.3:amd64 1:10.3.27-0+deb10u1
2021-02-14 13:08:06 status installed mariadb-client-core-10.3:amd64 1:10.3.27-0+deb10u1
2021-02-14 13:08:06 configure mariadb-client-10.3:amd64 1:10.3.27-0+deb10u1 <none>
2021-02-14 13:08:06 status unpacked mariadb-client-10.3:amd64 1:10.3.27-0+deb10u1
2021-02-14 13:08:06 status half-configured mariadb-client-10.3:amd64 1:10.3.27-0+deb10u1
2021-02-14 13:08:06 status installed mariadb-client-10.3:amd64 1:10.3.27-0+deb10u1
2021-02-14 13:08:06 configure mariadb-client:all 1:10.3.27-0+deb10u1 <none>
2021-02-14 13:08:06 status unpacked mariadb-client:all 1:10.3.27-0+deb10u1
2021-02-14 13:08:06 status half-configured mariadb-client:all 1:10.3.27-0+deb10u1
2021-02-14 13:08:06 status installed mariadb-client:all 1:10.3.27-0+deb10u1
2021-02-14 13:08:06 trigproc libc-bin:amd64 2.28-10 <none>
2021-02-14 13:08:06 status half-configured libc-bin:amd64 2.28-10
2021-02-14 13:08:06 status installed libc-bin:amd64 2.28-10
2021-03-11 22:58:45 startup archives unpack
2021-03-11 22:58:45 install libnspr4:amd64 <none> 2:4.20-1
2021-03-11 22:58:45 status triggers-pending libc-bin:amd64 2.28-10
2021-03-11 22:58:45 status half-installed libnspr4:amd64 2:4.20-1
2021-03-11 22:58:45 status unpacked libnspr4:amd64 2:4.20-1
2021-03-11 22:58:45 install libnspr4-dev:amd64 <none> 2:4.20-1
2021-03-11 22:58:45 status half-installed libnspr4-dev:amd64 2:4.20-1
2021-03-11 22:58:45 status unpacked libnspr4-dev:amd64 2:4.20-1
2021-03-11 22:58:45 install libnss3:amd64 <none> 2:3.42.1-1+deb10u3
2021-03-11 22:58:45 status half-installed libnss3:amd64 2:3.42.1-1+deb10u3
2021-03-11 22:58:45 status unpacked libnss3:amd64 2:3.42.1-1+deb10u3
2021-03-11 22:58:46 install libnss3-dev:amd64 <none> 2:3.42.1-1+deb10u3
2021-03-11 22:58:46 status half-installed libnss3-dev:amd64 2:3.42.1-1+deb10u3
2021-03-11 22:58:46 status unpacked libnss3-dev:amd64 2:3.42.1-1+deb10u3
2021-03-11 22:58:46 startup packages configure
2021-03-11 22:58:46 configure libnspr4:amd64 2:4.20-1 <none>
2021-03-11 22:58:46 status unpacked libnspr4:amd64 2:4.20-1
2021-03-11 22:58:46 status half-configured libnspr4:amd64 2:4.20-1
2021-03-11 22:58:46 status installed libnspr4:amd64 2:4.20-1
2021-03-11 22:58:46 configure libnspr4-dev:amd64 2:4.20-1 <none>
2021-03-11 22:58:46 status unpacked libnspr4-dev:amd64 2:4.20-1
2021-03-11 22:58:46 status half-configured libnspr4-dev:amd64 2:4.20-1
2021-03-11 22:58:46 status installed libnspr4-dev:amd64 2:4.20-1
2021-03-11 22:58:46 configure libnss3:amd64 2:3.42.1-1+deb10u3 <none>
2021-03-11 22:58:46 status unpacked libnss3:amd64 2:3.42.1-1+deb10u3
2021-03-11 22:58:46 status half-configured libnss3:amd64 2:3.42.1-1+deb10u3
2021-03-11 22:58:46 status installed libnss3:amd64 2:3.42.1-1+deb10u3
2021-03-11 22:58:46 configure libnss3-dev:amd64 2:3.42.1-1+deb10u3 <none>
2021-03-11 22:58:46 status unpacked libnss3-dev:amd64 2:3.42.1-1+deb10u3
